game_id,game_date,home,away,home_pts,away_pts,winner
0022300061,2023-10-24,DEN,LAL,119,107,DEN
0022300062,2023-10-24,GSW,PHO,104,108,PHO
0022300063,2023-10-25,CHO,ATL,116,110,CHO
0022300064,2023-10-25,IND,WAS,143,120,IND
0022300065,2023-10-25,NYK,BOS,104,108,BOS
0022300066,2023-10-25,ORL,HOU,116,86,ORL
0022300067,2023-10-25,BRK,CLE,113,114,CLE
0022300068,2023-10-25,MIA,DET,103,102,MIA
0022300069,2023-10-25,TOR,MIN,97,94,TOR
0022300070,2023-10-25,CHI,OKC,104,124,OKC
0022300071,2023-10-25,MEM,NOP,104,111,NOP
0022300072,2023-10-25,UTA,SAC,114,130,SAC
0022300073,2023-10-25,SAS,DAL,119,126,DAL
0022300074,2023-10-25,LAC,POR,123,111,LAC
0022300075,2023-10-26,MIL,PHI,118,117,MIL
0022300076,2023-10-26,LAL,PHO,100,95,LAL
0022300077,2023-10-27,CHO,DET,99,111,DET
0022300078,2023-10-27,MEM,DEN,104,108,DEN
0022300079,2023-10-27,ATL,NYK,120,126,NYK
0022300080,2023-10-27,BOS,MIA,119,111,BOS
0022300081,2023-10-27,CLE,OKC,105,108,OKC
0022300082,2023-10-27,CHI,TOR,104,103,CHI
0022300083,2023-10-27,SAS,HOU,126,122,SAS
0022300084,2023-10-27,DAL,BRK,125,120,DAL
0022300085,2023-10-27,UTA,LAC,120,118,UTA
0022300086,2023-10-27,POR,ORL,97,102,ORL
0022300087,2023-10-27,SAC,GSW,114,122,GSW
0022300088,2023-10-28,DET,CHI,118,102,DET
0022300089,2023-10-28,WAS,MEM,113,106,WAS
0022300090,2023-10-28,NOP,NYK,96,87,NOP
0022300091,2023-10-28,CLE,IND,113,125,IND
0022300092,2023-10-28,TOR,PHI,107,114,PHI
0022300093,2023-10-28,MIN,MIA,106,90,MIN
0022300094,2023-10-28,PHO,UTA,126,104,PHO
0022300095,2023-10-29,OKC,DEN,95,128,DEN
0022300096,2023-10-29,HOU,GSW,95,106,GSW
0022300097,2023-10-29,MIL,ATL,110,127,ATL
0022300098,2023-10-29,PHI,POR,126,98,PHI
0022300099,2023-10-29,LAC,SAS,123,83,LAC
0022300100,2023-10-29,SAC,LAL,132,127,SAC
0022300101,2023-10-30,CHO,BRK,121,133,BRK
0022300102,2023-10-30,IND,CHI,105,112,CHI
0022300103,2023-10-30,WAS,BOS,107,126,BOS
0022300104,2023-10-30,ATL,MIN,127,113,ATL
0022300105,2023-10-30,TOR,POR,91,99,POR
0022300106,2023-10-30,MEM,DAL,110,125,DAL
0022300107,2023-10-30,MIL,MIA,122,114,MIL
0022300108,2023-10-30,NOP,GSW,102,130,GSW
0022300109,2023-10-30,OKC,DET,124,112,OKC
0022300110,2023-10-30,DEN,UTA,110,102,DEN
0022300111,2023-10-30,LAL,ORL,106,103,LAL
0022300112,2023-10-31,CLE,NYK,91,109,NYK
0022300113,2023-10-31,PHO,SAS,114,115,SAS
0022300114,2023-10-31,LAC,ORL,118,102,LAC
0022300115,2023-11-01,DET,POR,101,110,POR
0022300116,2023-11-01,TOR,MIL,130,111,TOR
0022300117,2023-11-01,ATL,WAS,130,121,ATL
0022300118,2023-11-01,BOS,IND,155,104,BOS
0022300119,2023-11-01,MIA,BRK,105,109,BRK
0022300120,2023-11-01,NYK,CLE,89,95,CLE
0022300121,2023-11-01,OKC,NOP,106,110,NOP
0022300122,2023-11-01,HOU,CHO,128,119,HOU
0022300123,2023-11-01,MIN,DEN,110,89,MIN
0022300124,2023-11-01,DAL,CHI,114,105,DAL
0022300125,2023-11-01,UTA,MEM,133,109,UTA
0022300126,2023-11-01,GSW,SAC,102,101,GSW
0022300127,2023-11-01,LAL,LAC,130,125,LAL
0022300128,2023-11-02,PHI,TOR,114,99,PHI
0022300129,2023-11-02,NOP,DET,125,116,NOP
0022300130,2023-11-02,UTA,ORL,113,115,ORL
0022300131,2023-11-02,PHO,SAS,121,132,SAS
0022300001,2023-11-03,IND,CLE,121,116,IND
0022300002,2023-11-03,MIL,NYK,110,105,MIL
0022300003,2023-11-03,MIA,WAS,121,114,MIA
0022300004,2023-11-03,CHI,BRK,107,109,BRK
0022300005,2023-11-03,OKC,GSW,139,141,GSW
0022300006,2023-11-03,DEN,DAL,125,114,DEN
0022300007,2023-11-03,POR,MEM,115,113,POR
0022300132,2023-11-04,PHI,PHO,112,100,PHI
0022300133,2023-11-04,IND,CHO,124,125,CHO
0022300134,2023-11-04,ORL,LAL,120,101,ORL
0022300135,2023-11-04,NOP,ATL,105,123,ATL
0022300136,2023-11-04,BRK,BOS,114,124,BOS
0022300137,2023-11-04,HOU,SAC,107,89,HOU
0022300138,2023-11-04,MIN,UTA,123,95,MIN
0022300139,2023-11-04,DEN,CHI,123,101,DEN
0022300140,2023-11-05,DET,PHO,106,120,PHO
0022300141,2023-11-05,SAS,TOR,116,123,TOR
0022300142,2023-11-05,CLE,GSW,115,104,CLE
0022300143,2023-11-05,DAL,CHO,124,118,DAL
0022300144,2023-11-05,POR,MEM,100,112,MEM
0022300145,2023-11-06,DET,GSW,109,120,GSW
0022300146,2023-11-06,IND,SAS,152,111,IND
0022300147,2023-11-06,ORL,DAL,102,117,DAL
0022300148,2023-11-06,PHI,WAS,146,128,PHI
0022300149,2023-11-06,BRK,MIL,125,129,MIL
0022300150,2023-11-06,MIA,LAL,108,107,MIA
0022300151,2023-11-06,NYK,LAC,111,97,NYK
0022300152,2023-11-06,CHI,UTA,130,113,CHI
0022300153,2023-11-06,HOU,SAC,122,97,HOU
0022300154,2023-11-06,MIN,BOS,114,109,MIN
0022300155,2023-11-06,OKC,ATL,126,117,OKC
0022300156,2023-11-06,DEN,NOP,134,116,DEN
0022300157,2023-11-08,CHO,WAS,116,132,WAS
0022300158,2023-11-08,IND,UTA,134,118,IND
0022300159,2023-11-08,PHI,BOS,106,103,PHI
0022300160,2023-11-08,BRK,LAC,100,93,BRK
0022300161,2023-11-08,NYK,SAS,126,105,NYK
0022300162,2023-11-08,CHI,PHO,115,116,PHO
0022300163,2023-11-08,HOU,LAL,128,94,HOU
0022300164,2023-11-08,MEM,MIA,102,108,MIA
0022300165,2023-11-08,MIL,DET,120,118,MIL
0022300166,2023-11-08,MIN,NOP,122,101,MIN
